treatment,NH4,NO3,PO4,NO2,pH,O2_uM,N,C,CN
ambient,3.32,0.55,0.083,0.091,8.02,207,0.71796973,33.45674118,54.36561329
ambient,0.64,0.69,0.038,0.03,8.08,220.5,1.291570294,35.25474498,31.84537148
ambient,12.29,1.04,0.12,0.077,8.11,222.4,1.605881008,34.68864693,25.20117486
ambient,0.57,0.584,0.036,0.04,,,1.575584567,36.02150967,26.67270008
ambient,0.634,0.551,0.022,0.065,,,0.914070265,32.11435708,40.98891669
ambient,0.475,2.036,0.06,0.054,,,0.867863974,33.2740213,44.73015669
ambient,0.309,0.183,0.054,0.027,,,1.431712348,34.63222669,28.22093735
ambient,0.578,3.403,0.08,0.043,,,,,
vent,5.4,0.73,0.078,0.066,6.96,170,1.600393084,34.98495105,25.50359448
vent,9.7,1.71,0.12,0.05,7.19,217.1,0.723489426,34.02068099,54.86022748
vent,4.32,0.64,0.111,0.348,7.14,222.2,1.218118759,34.93167625,33.45619792
vent,0.895,0.606,0.056,0.064,,,1.018703585,33.96269431,38.89565515
vent,0.505,0.541,0.058,0.035,,,1.742890664,35.08361443,23.48448147
vent,0.194,1.16,0.051,0.08,,,1.464122152,32.73224411,26.08226239
vent,0.309,0.183,0.054,0.027,,,1.439680741,33.40857955,27.07313853
vent,1.539,1.132,0.047,0.11,,,,,
